#        Re[Omega_n]          Im[Omega_n]
    0.0000000000E+00     1.0000000000E-03
   -1.4578753300E-02     0.0000000000E+00
    0.0000000000E+00    -4.3734259901E-05
    1.0824823228E-03     0.0000000000E+00
    0.0000000000E+00     5.4121200547E-06
   -2.2280577070E-04     0.0000000000E+00
    0.0000000000E+00    -1.5595646260E-06
    9.6139021721E-05     0.0000000000E+00
    0.0000000000E+00     8.6521376630E-07
   -7.1845843750E-05     0.0000000000E+00
    0.0000000000E+00    -7.9027255702E-07
    8.2254870719E-05     0.0000000000E+00
    0.0000000000E+00     1.0692722254E-06
   -1.3335200958E-04     0.0000000000E+00
    0.0000000000E+00    -2.0002052957E-06
    2.9019894718E-04     0.0000000000E+00
    0.0000000000E+00     4.9332007540E-06
   -8.1554522412E-04     0.0000000000E+00
